,country,year,arrivals_dom,arrivals_for,arrivals_tot,nights_dom,nights_for,nights_tot,night_cost,purpose_leisure,purpose_work,purpose_visit,purpose_personal,purpose_other,purpose_tot
0,Albania,2017,,,,,,,20.04,6682481,4583314,12552111,22032000,2797408,26615314
1,Albania,2018,476294,766467,1242761,931190,2143467,3074657,,,,,,,
2,Albania,2019,468787,784709,1253496,1103905,2149514,3253419,15.29,10741657,2727822,13625132,26550098,2183308,29277919
3,Albania,2020,371523,293657,665180,800028,805416,1605444,32.14,8852021,425800,3983969,14218759,1382769,14644559
4,Albania,2021,545835,685081,1230916,1155185,2030887,3186072,,,,,,,
5,Albania,2022,683467,886515,1569982,1339177,2492152,3831329,,,,,,,
6,Albania,2023,926803,1409327,2336130,2101259,3906595,6007854,,,,,,,
7,Albania,2024,993348,2185093,3178441,2214777,5230937,7445714,,,,,,,
8,Austria,2013,,,,,,,130.2,68935790,12562465,15376914,92533683,8220980,105096149
9,Austria,2014,11400395,22246197,33646592,32341680,78099096,110440776,127.19,73129896,13669632,16532336,93685800,4023568,107355432
10,Austria,2015,11805718,23544384,35350102,33060945,80304956,113365901,127.16,72994448,13429771,15231496,92382814,4156869,105812584
11,Austria,2016,12413155,24677596,37090751,34558881,83398372,117957253,130.55,75657932,11876869,19301848,99626776,4666996,111503645
12,Austria,2017,12680617,25906005,38586622,35082222,86044321,121126543,132.15,78140356,11323721,17627175,100727344,4959813,112051065
13,Austria,2018,13087273,27006207,40093480,35935386,89293784,125229170,134.5,71485631,9757661,20307698,98939084,7145755,108696746
14,Austria,2019,13359120,27962315,41321435,36504339,91386215,127890554,139.56,75514710,11779663,22238791,103403261,5649761,115182924
15,Austria,2020,9034335,12637309,21671644,27990963,51142436,79133399,117.81,34863906,7149314,16278641,54695161,3552614,61844475
16,Austria,2021,8659900,11098084,19757984,26674565,40034274,66708839,124.52,49225902,7820353,23039379,76834235,4568954,84654588
17,Austria,2022,12695341,22874333,35569674,35592486,79470210,115062696,147.42,82021721,13328666,29628281,121290172,9640170,134618838
18,Austria,2023,13437243,27212813,40650056,36742409,91023501,127765910,160.79,87556619,13895960,36122166,136728758,13049973,150624718
19,Austria,2024,13669736,28498633,42168369,37192120,94009113,131201233,175.14,96333855,14741137,32630339,141171905,12207711,155913042
20,Austria,2025,13816162,29764173,43580335,37437110,97020394,134457504,,,,,,,
21,Belgium,2013,,,,,,,96.13,76875813,5428686,12247696,91080366,1956857,96509052
22,Belgium,2014,6753644,7887426,14641070,15536809,17068872,32605681,84.61,75674253,4558717,12489223,90844916,2681439,95403633
23,Belgium,2015,7492173,8354753,15846926,19528328,18852087,38380415,83.43,77717579,5224671,12457569,92075939,1900790,97300609
24,Belgium,2016,7729359,7481422,15210781,19792020,17063194,36855214,89.8,88229152,6619282,13740419,103769522,1799951,110388803
25,Belgium,2017,7934684,8384573,16319257,20020465,18656843,38677308,87.47,75785789,5196200,16334803,93819309,1698716,99015509
26,Belgium,2018,8441061,9118854,17559915,20755601,20564683,41320284,81.83,91336698,6954332,19234604,112068134,1496832,119022466
27,Belgium,2019,8714287,9343324,18057611,21308009,21204838,42512847,89.43,90007799,6553923,20318738,115116412,4789874,121670335
