DATAFLOW,LAST UPDATE,freq,purpose,duration,c_dest,expend,statinfo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Albania,2017,20.04,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Albania,2019,15.29,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Albania,2020,32.14,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2013,130.20,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2014,127.19,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2015,127.16,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2016,130.55,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2017,132.15,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2018,134.50,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2019,139.56,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2020,117.81,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2021,124.52,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2022,147.42,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2023,160.79,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,2024,175.14,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2013,96.13,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2014,84.61,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2015,83.43,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2016,89.80,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2017,87.47,b,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2018,81.83,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2019,89.43,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2020,59.12,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2021,63.74,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2022,89.00,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2023,96.71,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,2024,102.15,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2013,28.54,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2014,35.23,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2015,36.29,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2016,36.52,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2017,36.78,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2018,37.12,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2019,42.74,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2020,45.34,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2021,50.05,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2022,69.08,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2023,68.84,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,2024,82.57,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Switzerland,2013,117.28,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Switzerland,2014,105.89,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Switzerland,2015,119.68,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Switzerland,2016,120.67,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Switzerland,2017,113.23,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Switzerland,2018,115.08,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Switzerland,2019,115.49,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Switzerland,2020,89.71,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Switzerland,2021,107.99,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Switzerland,2022,130.65,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2013,71.39,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2014,70.16,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2015,75.23,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2016,82.89,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2017,93.70,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2018,107.03,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2019,110.89,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2020,70.09,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2021,75.38,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2022,120.12,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2023,135.04,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,2024,131.60,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2013,30.31,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2014,26.58,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2015,31.54,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2016,31.90,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2017,34.16,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2018,38.52,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2019,37.67,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2020,25.92,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2021,31.61,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2022,46.28,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2023,56.45,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,2024,55.97,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Germany,2013,91.99,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Germany,2014,85.67,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Germany,2015,87.28,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Germany,2016,88.30,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Germany,2017,95.53,,
